FabricName
# 2600 Off White
# 3300 Black
#BEM2201007 màu Chestnut
#BRM2201003 màu Caramel
(21mm*1830*2440)
(500m/cuộn)
(Pinus Radiata)
Aulla 17 (KD)
Aulla 17 (W140)
Aulla 17 (W142)
Aulla 28
Aulla 28 (KD)
Aurelia Calypso
Avola 140 19302 Pearl
Avola 140 Col 19302 Pearl
Avola 140 Col 19337 Black/white
Avondale-Pyrite
Avondale/Pyrite
B Balmora Houndstooth Citrine
BEC006-Swivel Chair
BERGEN TAUPE 902
BOX 1 - SLEEPER
BOX 2 - CHAISE
BOX 3 - LOVESEAT
BUBLES #2 (KD)
BY21133 01 Cream Boucle
BY21133 01 Cream Boucle (KD)
Baby Blue Performance Basket Weave-Nickel_PO 13525
Back Fabric:  giả da Vinyl Xander-AG Navy CAL 117 FRCF/ Seat Fabric:  giả da Valscari Imo-Tobacco Rust Spice
Bali SA 16007 Deer
Baltimore sand
Beach 012 Light Grey
"Beach 012 Light Grey, W145 cm, 350gr/m, 100% Polyester"
Beatrix-Island
Beatrix-Lakeland
Beck Nano Aquamarine
Beige ( khách  cấp)
Beige Vinyl 361-06
Beige Vinyl 361-06 (KD)
Belfast 16
Belfast 23
Belfast 28
Belfast 35
Belfast 41 Grey
Bella Asphalt
Bella Hunter
Bella Ink
"Bella Ink, W137cm, 100% Polyester"
"Bella Ink, W137cm, 100% Polyester, FR Chống cháy"
Bella Rosewood (KD)
Bench gỗ Cao su (Rubber)
Bergen 503 Olive
Bergen 602 French Blue
Bermuda 100
Bermuda 801
Bermuda 803
Bermuda 900
Bermuda 903
Bermuda100
Betty Mushroom
Black
Bluena ( Chocolate) #20913350 (KD)
Boom II Sapphire
Boone Moss Green
Boone PBW 110 Navy Blue
Boston #251 (KD)
Boucle
Boucle 001 Off White
Boucle 002 Cream
Boucle 801 Dark Grey
Boucle K8143-2
Boucle beige (chờ khách XN  sẽ cập nhật sau)
Boucle màu nâu ( tạm)
Boucle màu trắng của nhà máy
Bowie Fashion
Bowie Fashion (700gr)
Bowie Fashion (KD)
Braided Charcoal
Brasillia 42 Indien (KD)
Brecken Raspberry
Brecken Sand
Brentano 4258 Graviata Marigold 05
Brentano Clement Mascarpone
Brigantine Crustaceans
Bright Ash (Hepburn_Porcelain) (KD)
Brighton Marble (CO)
Brighton Marble(C0)
Brighton Porcelain (C0)
Brighton Porcelain (CO)
Brooklyn Anthracite (KD)
Brooklyn Bordeaux (KD)
Buena (Chocolate) #20913350
Buena (Chocolate) #20913350 (KD)
Bugle Mica
Burl veneer hệ sơn PU
Bên trong và nệm ngồi  CARAVAN GRANITE
C Interfold Indigo 274
C UV Avondale Pyrite
C0 Treatment
C24113 Amman #02
C24113 Amman #08
CANNA 432 JAVA ( khách cấp)
CASAL 12156 Gedeon 30 Amande
CC-01
CC-01 (143)
CC-01 (W143)
CC-43 Green Velvet
CC-43 Green Velvet (W143)
CC-67 Navy Velvet
CC-X
CC-X (143)
CC27 Grey Velvet
CC27 Navy Velvet
CC29 Black Velvet
CC29 Black Velvet (W143)
CC67 Grey Velvet
CC67 Navy Velvet
CH492-1 Ivory White Boucle (KD)
CHC-36 DA4Q1 C5 PB10 GREEN-F KENSIN N-ANTI P-TOP TWIST4
CHLOE Light Taupe with C0
CM2066-21 with Coating
CM2141-18 Green
CM2141-18 Green with Coating
CM2141-74 Light Brown with Coating
COBBLE 120
COCOON 192003
COM Architex Rebel Pankhurst
COM Culp Cantina Taupe
COM GMF Lumonous Cinder
COPENHAGEN 803
COPENHAGEN OLIVE 502
COREI5_13420H
CP0218-13 (HDC Brand) Stone Gray
CP0218-13 (SW Brand) Stone Gray
CP0218-EL721 (HDC Brand) Ivory
CP0221-1 (SW Brand) Biscuit
CP0221-1 (SW Brand) Biscuit (KD)
CULP Geralt Natural Linen
CULP:MARCHMOUNT/COLOR: ZIRCON
CZ-6860-343-103
Calamus River
Calima 08 Col Fr chống cháy (KD)
Calpe 0705 Torf Fr chống cháy
Camargue 302 Amber
Camargue 302 Amber (KD)
"Camargue 302, W145 cm, 50% Polyester 28% Viscose 12% Linen 10% Cotton"
Camargue 601
Camargue 601 Navy
"Camargue 601, W145 cm, 50% Polyester 28% Viscose 12% Linen 10% Cotton"
Camargue 702 Lavender
Camargue 702 Lavender (KD)
"Camargue 702, W145 cm, 50% Polyester 28% Viscose 12% Linen 10% Cotton"
Camargue 806
Camargue 900 Cream
Care Recycle 011 Green
Caribou Cust Sable
ChaCha 120 Taupe
ChaCha 140 Ivory
ChaCha 280 Mustardyellow
ChaCha 330 Blue
ChaCha 330 Blue (KD)
ChaCha 371 Olive Green
Chacha 120 Taupe (KD)
Chacha 140 Ivory (KD)
Chacha 140 Ivory with C0
Chacha 190
Chacha 355
Chacha 355 with C0
Chacha 371 Olive Green (KD)
Charles Samelson Bancroft Hemp (KD)
Chenille Geometric Pattern
Cheyenne Saddle
Chili 08
"Chili 08, W142 cm, 100% Polyester, FR chống cháy"
Chocolate  Brown (Cardiff Ely) (KD)
"Chocolate  Brown (Cardiff) 
S-LTHR-CHOCB (KD)"
Chocolate Brown (KD) (Cardiff Ely)
Choice 004 Mole
Choice 004 Mole (KD)
Choice 011 Pepper
Choice 0II Pepper
Chronicle Hemlock
Chân bàn làm bằng solid Birch
Chân ghế gỗ Sồi (Oak)
Chân gỗ  Cao su (Rubber)
Chân gỗ Ash
Chân gỗ Beech
Chân gỗ Cao su (Rubber)
Chân gỗ Oak
Chân gỗ Oak 1C
Chân gỗ Sồi (Oak)
Chân gỗ Tràm (Acacia)
Chân gỗ cao su
Chân gỗ cao su (Rubber) đóng đinh nhựa
Chân gỗ sồi trắng (White Oak 1C)
Chân gỗ tần bì (Ash)
Chân sắt
Chân tủ làm bằng solid Birch
Chờ khách cập nhật tên
City Velvet Reloaded CA7832/060
Clarkson Sand (C0 Water Repellent) (KD)
Claus Night Club
Cloud Nine Spearmint
Cloud Nine Tide Pool
Cobble 110
Coda 102 Cream (KD)
Coda 120 (KD)
Cognac Tan
Cognac Tan (KD)
Cognac Tan (Noce Terre)
Cognac Tan (Noce Terre) (KD)
Cognac Tan( Noce Terre)  (KD)
Cognac Tan( Noce Terre) (KD)
Cognac Tan/  Chateau Linen
Colorado Pink 702
Colorado Yellow 400
Concertex Spectra Blossom
Connect 61207 True (Light Beige) (KD)
Connelly Owl Fcl
Connelly Peacock
Contessa Taupe
Copa Cabana Fossil KF
Copa Cabana Ocean Site (KD)
Copa Cabana Oceansite KF
Copa Cabana Oceansite KF (255gr)
Copa Cabana Oceansite KF (W137)
Copenhagen 101 Charcoal (KD)
Copenhagen 300
Copenhagen 502 Forest (KD)
Copenhagen 900
Copenhagen 901 Grey
Copenhagen 901 Grey (KD)
Copenhagen 908 Off White (KD)
Copenhagen White 900
Corner Open End LHF MD 2472
Corner Open End RHF MD 1256 Foam HR
Corner Open End RHF MD 1907 Foam HR
Corner PAB022
Corner open end
Costa 170 (KD)
Costa 303 (KD)
Cotton Velvet P71008 (KD)
Courtyard NA-30-CYF23
Cowan Tout Palma J912F-13 Off white
Cream Boucle
"Create 072 aqua, W140 cm, 100% Polyester"
Crema White Boucle  ( A2267 - 2A)
Crema White Boucle  ( A2267 - 2A)(KD)
Crestfallen Black
Cruising/Destination
Cruz Fossil 03 (KD)
Cubic K5304/01 Copper
Cubic K5304/03 Monochrome
Culp Cantina Putty
Culp CantinaPutty
Culp Contract
Culp Garner Earth
Culp Polo Club Stone
Culp RushmoreFlaxen
Culp Stancil Marble
CulpStancil Belgian Flax
Cura 60110 Light Grey
"Cura 60110 Light Grey, W140 cm, 420gr/m, 100% Polyester"
Cura 66167 Light Blue
"Cura 66167 Light Blue, W140 cm, 420gr/m, 100% Polyester"
Cura 68182 Dark Green
Cura 68182 Dark Green (KD)
"Cura 68182 Dark Green, W140 cm, 420gr/m, 100% Polyester"
Cura 68182 Dark Green.
Curly oatmeal white K8143-02 (KD)
Custom studio
Cute Recycle 012 Light Grey (KD)
Cute Recycle 012 Light Grey C0
Cute Recycle 012 Light Grey C0 (KD)
Cute Recycled 001 White (KD)
Cute Recycled 001 White Add C0
Cute Recycled 001 White Add C0 (KD)
Cute Recycled 001 White C0
Cute Recycled 001 White C0 (KD)
Cute Recycled 012 Light Grey (KD)
Cute Recycled 012 Light Grey C0
Cute Recycled 012 Light Grey C0 (KD)
Cute Recycled 801 Dark Grey (KD)
Cute Recycled 801 Dark Grey Add C0
Cute Recycled 801 Dark Grey C0
Cute Recycled 801 Dark Grey C0 (KD)
D10*3*3mm
D20mm
D28*9mm
D2TP.993
D85*3mm
D95*3mm
DANNY 12
DANNY 27
DC6198-01 (Bọc  tạm nhà máy trước)
DC6198-2 with C0
DC6198-EVA9 with C0
DELHORTEX / REMBRANDT / #144
DELHORTEX / REMBRANDT / #144 Mech reclining nâng hạ bằng điện
DK-30kg/m3
DK-35kg/m3
DLF-F6403 (KD)
DONATELLO RV5055 (UK-FR)
DONATELLO RV5055-38Y
DS21-A54 8
DS21-C48 90
DS21-C64 69
DS21-C70 56
DS21-C76 31
DS21-D56 26
DS21-D76 36
DT-8088-11
DT8088-02 (Light Brown)
DT8088-11
DT8088-11 (Honey)
DT8088-11 (KD)
Da  CO 4-2
Da AM143M (KD)
Da AM929 (KD)
"Da Article Patrol Black, 1.2→1.4 mm"
"Da Article Patrol Bronze, 1.2→1.4 mm"
Da Buena Chocolate 13353/ #20913350
Da Bò Couture Corduroy (KD)
Da Coal #17309
Da Coal Black
Da Cortina leather / Celeste 50-20
Da Cow Leather Urbane Mod (KD)
Da Hampton Bronze
Da JBS Aline K TT Butternut 13306
Da Leather Saddle Tan Madison 3252
Da Leather Saddle Tan-Madison 3252
Da Leather Vitelloni Steamboat  Chestnut
Da NH
Da Noce Teere Cognac Tan
Da Noce Terre Cognac Tan
Da Noce Terre Cognac Tan (KD)
Da Old Saddle-509 Green
Da Olivine Green
Da Saddle Tan Madison 3252
Da Saddle Tan-Madison 3252
Da Semi Aniline Jamie Stern FX-370
Da Siena Noce Antica 13554/ #13091
Da Softy Beige 2729
Da Vitelloni Steamboat Caramel
Da Vitelloni Steamboat Chestnut
Da bò Bali 16008 Black
Da bò Cortina Leather Brava 42-2 Noce
Da bò GARRET Leather Avion  A294-Whitetail
Da bò Garret B850 Berkshire Black
Da bò Garret R9510 Resilience Topaz
Da bò Hermes/Hampton Bronze
"Da bò Hermes/Hampton Bronze, 0.8→1.0 mm"
Da bò Old Saddle Black
Da bò Saddle Tan Madison 3252
Da bò Stella Cherry Natural (KD)
Da bò Stella Fern Green (KD)
Da bò Stella Ochre Natural (KD)
Da bò Stella Roast Natural (KD)
Da bò Tiger Leather Couture Corduroy
Da bò Tiger Leather Couture Denim Blue
Da bò Toronto G525 Black (KD)
Da bò Vanille 1347 Bronze
"Da bò Vanille 1347 Bronze, 1.2→1.4 mm"
Da bò Vanille 1347 Broze
"Da bò Vanille 8032 Black, 1.2→1.4 mm"
Da bò thuộc
Da bò thuộc thành phẩm
Da bò thuộc thành phẩm Leather Vancouver 8137 White
Da tạm
Da tổng hợp Associates-Wild West
Dale 26 Blush
Danilo Zigzag 376 Navy
"Danilo Zigzag 376 navy, W140 cm, 448gr/m2, 51% Polyester 34% Poly Olefin 15% Cotton"
Danilo Zigzag 380 Burnt Mocca
"Danilo Zigzag 380 burnt mocca, W140 cm, 448gr/m2, 51% polyester 34% poly olefin 15% cotton"
Danny 002
Danny 003
Danny 003 (KD)
Danny 003 Cream
Danny 003 Cream (KD)
Danny 003 Cream Fr chống cháy
Danny 003 Cream(KD)
Danny 03 Cream
Danny 03 Cream FR
"Danny 03 Cream, W142 cm, 360gr/m2, 100% polyester"
Danny 034 (KD)
Danny 043
Danny 043 (KD)
Danny 05 Light Brown
Danny 05 Light Brown (KD)
Danny 11 Dusky Pink
Danny 11 Dusky Pink FR chống cháy
"Danny 11, W142 cm, 360gr/m2, 100% polyester"
Danny 12 Blush
Danny 12 Blush (KD)
Danny 16
Danny 17 Antrazite
Danny 17 Antrazite (KD)
Danny 17 Antrazite Fr chống cháy
"Danny 17, W142 cm, 360gr/m2, 100% polyester"
Danny 18 Steel Grey
Danny 18 Steel Grey (KD)
"Danny 18 steel grey, W142 cm, 360gr/m2, 100% polyester"
Danny 20 Taupe
Danny 21
Danny 21 (KD)
Danny 22 Light Grey
Danny 27 Dusty Blue
Danny 27 Dusty Blue (KD)
Danny 27 Dusty Blue Fr chống cháy
"Danny 27 dusty blue, W142 cm, 360gr/m2, 100% polyester"
Danny 29
Danny 29 Shadow Blue
Danny 29 Shadow Blue (KD)
"Danny 29 shadow blue, W142 cm, 360gr/m2, 100% polyester"
Danny 30 Light Blue
Danny 320
Danny 33
Danny 33 Twiligh
Danny 33 Twilight
Danny 33 Twilight Fr chống cháy
Danny 34 Indigo Blue
Danny 34 Indigo Blue (KD)
"Danny 34 indigo blue, W142 cm, 360gr/m2, 100% polyester"
Danny 352
Danny 38 Rust
Danny 38 Rust (KD)
Danny 38 Rust Fr chống cháy
Danny 38 Rust.
"Danny 38 rust, W142 cm, 100% Polyester"
Danny 39 Dusty Rose
Danny 39 Dusty Rose (KD)
Danny 39 Dusty Rose Fr chống cháy
Danny 39 Dusty Rose Fr chống cháy (KD)
"Danny 39 dusty rose, W142 cm, 100% Polyester"
Danny 40 red
Danny 41
Danny 41 Orange (KD)
Danny 41 orange
"Danny 41 orange, W142 cm, 360gr/m2, 100% polyester"
Danny 43 Amber
Danny 43 Amber (KD)
Danny 43 Amber Fr chống cháy
"Danny 43 amber, W142 cm, 100% Polyester"
Dany 27 FR
Dawn 003 Kit (KD)
"Daytona 184, W140 cm, 450gr/m2, 55% Polyester 35% Acrylic 10% Polyamide"
"Daytona 76, W140 cm, 450gr/m2, 55% Polyester 35% Acrylic 10% Polyamide"
"Daytona 77, W140 cm, 450gr/m2, 55% Polyester 35% Acrylic 10% Polyamide"
"Daytona 78, W140 cm, 450gr/m2, 55% Polyester 35% Acrylic 10% Polyamide"
Deauville 8863-4 Stone
Decent 029
Decent 029 (KD)
Dekortex/162
Delfos 1168 Cashmere FR chống cháy (KD)
Delius Delimar Samos Fr chống cháy (KD)
Delius Meridian Tonga Fr chống cháy (KD)
Delizio 346 Brown
"Delizio 346 brown, W140 cm, 420gr/m2, 47% Polyester, 40% Poly Olefin, 13% Cotton"
Delray-2
Denison Pineapple
Diego 002
Diego 002 Cream
Diego 002 Cream (KD)
Diego 002 Cream (N)
"Diego 002 Cream, W142 cm, 65% Polyester 27% Viscose 8% Linen"
Diego 005 Natural
Diego 005 Natural (N)
Diego 010 Curry
"Diego 010 Curry, W142 cm, 65% Polyester 27% Viscose 8% Linen"
Diego 013 Steel Grey
Diego 013 Steel Grey (N)
"Diego 013 Steel Grey, W142 cm, 65% Polyester 27% Viscose 8% Linen"
Diego 023 Rosa
"Diego 023 Rosa, W142 cm, 65% Polyester 27% Viscose 8% Linen"
"Diego 070 Navy, W142 cm, 540gr/m, 65% Polyester 27% Viscose 8% Linen"
Diego 071 Petrol
"Diego 072 Aqua, W142 cm, 65% Polyester 27% Viscose 8% Linen"
Diego 075 Dark Green
"Diego 075 Dark Green, W142 cm, 65% Polyester 27% Viscose 8% Linen"
Diego 090 Turquoise
Diego 090 Turquoise (KD)
Dillon  Black
Dillon  White
Distressed Green Velvet
Distressed Green Velvet (A2266-71A)
Distressed Green Velvet (A2266-71A) (KD)
Distressed Green Velvet (KD)
"Divina Melange 2 0120, W150 cm, 840gr/m, 100% Wool"
"Divina Melange 2 0170, W150 cm, 840gr/m, 100% Wool"
Dolly Ash
Dorell  Prosecco Desert
Dorell Bradley Ash (C0)
Dorell Bradley Ash (C0) (KD)
Dorell Bradley Charcoal (C0)
Dorell Bradley Charcoal (C0) (KD)
Dorell Briar Oat with C0
Dorell Camila Cashew
Dorell Camila Steel
Dorell Celine Oyster
Dorell Curious Oatmeal (C0)
Dorell Curious Oatmeal (C0) (KD)
Dorell Curious Smoke (C0)
Dorell Curious Smoke (C0) (KD)
Dorell Restore Cream (C0)
Dorell Restore Smoke (C0)
Dorrel Rene Ivory w/ C0 and backing
Dorset Balsa
Dots 8820227 Gris (KD)
Dove 5A (KD)
Dove XYX30 – 5A Seashell White
Dove XYX30 – 5A Seashell White (KD)
Dove XYX30 – 5A Seashell White Add C0
Dove XYX30 – 5A Seashell White Add C0 (KD)
Dove XYX30 – 5A Seashell White C0
Dove XYX30 – 5A Seashell White C0 (KD)
Dove XYX30 –5A Seashell White C0
Dove XYX30 –5A Seashell White C0 (KD)
Drusky Chrome
Dune
Dwell Driftwood
Dwell Dusk
Dyna Palm (KD)
Dài: 55mm
Dài: 85mm
Dùng  Boucle có sẵn của nhà máy
Dùng  Elvet có sẵn của nhà máy
Dùng  thường loại tồn của nhà máy
Dùng  thường tạm của nhà máy
Dùng  thường tạm của nhà máy. Khách yêu cầu  $1
Dùng  thường tạm của nhà máy. Khách yêu cầu  $4
Dùng  thường tạm của nhà máy. Seat và back khác màu
Dùng  velvet màu xám có sẵn của nhà máy
Dùng PU/Simili tạm của nhà máy
Dùng Simili có sẵn của nhà máy
Dùng Simili của nhà máy
Dựng (không dệt) trắng (White)
Dựng (không dệt) đen (Black)
E2
EASTWOOD MEADOW
EASTWOOD SEAL
EN6935-10
ESSENCE SMOKEY OLIVE 008 ( khách cấp)
Eagle 01
Eagle 03
Eagle 22
Eagle 25
Eagle 31
Eagle 32
Earth Mother 10292-01-0 Serenity
East Village Butter Cream (KD)
Eggshell
Ego Foil
Elastron Macau Ash
Elastron Macau Chocolate
Elastron Macau Pearl
Elastron Supersoft mf
Elevate Torch
Elite 008 Stone
"Elite 008 Stone, W150 cm, 420gr/m2, 60% Wool 40% Polyester"
Elite 012 Light Grey
Elite 012 Light Grey (KD)
"Elite 012 Light Grey, W150 cm, 420gr, 60% Wool 40% Polyester"
"Elite 017 Antrazit, W150 cm, 420gr, 60% Wool 40% Polyester"
Elite 017 Antrazite (KD)
"Elite 018 Red, W150 cm, 420gr/m2, 60% Wool 40% Polyester"
Elite 071 Navy
"Elite 092 petrol, W150 cm, 420gr/m2, 60% Wool 40% Polyester"
Elite 350 Army
"Elite 350 Army, W150 cm, 420gr/m2, 60% Wool 40% Polyester"
Elite Dove
Elite Dove (KD)
Elite Pewter
Elite Pewter (KD)
Elliot Smoke (C0)
Elliot Snow (C0)
Elliot-Persimmon
Ello 16A Sand
Enssence Latte-06
Eternity 21
Eternity 210
Etitto 9155/03 Copper
"Etna 22A Metal, W145 cm, 54% Polyester 46% Rayon"
F3096 Amazing 21 Parchment
F3601 Mindful 00 Ink Master
F4833 004
F4833-004 with C0
FENDI-02DS
FENDI-68DS
FL Teddy W-00
FL Teddy W-00 (KD)
FL Teddy W-00-190417 (KD)
FL Teddy W-01
FL Teddy W-01 (KD)
FL Teddy W-02 (KD)
FLI036 Foam US-FR
FR Danny 39 Dusty Rose
FR Stax 015/93 Dark Green
FUTURE COLOR: MUSHROOM
FX-371 Pollack)
Fabric FR Stax Shine 030 Mustard
Fabric Flavio 006 Stone
Fabric Maya A2635 1A White
Fabric Sapphire 801 Dark Grey
Fabrics VW21933 07
Facet Natural Oatmeal
Facet Shitake Mocha
Fame 64089
Fame 64089 (KD)
Fame 66071
Fame 66071 (KD)
Fame 67069 Petrol
Fancy That Domino F2815- 30 Domin
Fancy That F2815- 30 Domino
Fancy That F2815-00 Ony
Fancy That F2815-00 Onyx
Farm 303
Farm 303 FR chống cháy
Farm 355 FR chống cháy
Felli Peach
Fendi - 68 DS
Fendi-01 DS
Fendi-02 DS
Fenix 47 Blue
Filip Burlap K0123
Fill Doux Arima Pewter (11)
Fill Doux Cedros Grass
Fill Doux Reynolds Smoke (W137)
Fill Doux Reynolds Smoke (W140)
Fill Doux Sedona Brooding
Fill Doux Stevenson Steel
Fill Doux Valencia Night
Firenze 015 Bubblegum
Firenze 015 Bubblegum  tem: 245 Firenze bubblegum.
Firenze 015 Bubblegum (KD)
Firenze 015 Bubblegum (SC)
Firenze 015 Bubblegum Fr chống cháy
Firenze 015 Bubblegum.
Fizzy (KD)
Flair 006 Koks
"Flair 006 Koks, W142 cm, 100% Polyester"
Flair 006 Kols
"Flair 007 Yellow, W142 cm, 100% Polyester, FR chống cháy"
"Flair 007 Yellow, W142 cm, 375gr, 100% Polyester"
"Flair 008 Turkish, W142 cm, 100% Polyester"
"Flair 008 Turkish, W142 cm, 100% Polyester, FR chống cháy"
Flair 010 Blue Grey
"Flair 010 Blue Grey, W142 cm, 100% Polyester"
Flair 012 Sand
"Flair 012 Sand, W142 cm, 100% Polyester"
"Flair 017 Antrazit, W142 cm, 100% Polyester"
Flair 017 Antrazite
Flare Harbor
Flash K5292/03 Havannah
Flash K5292/05 Pink Apricot
Flat Nozag
Flavio  073 Pigeon Blue
Flavio 006 Stone
Flavio 006 Stone (KD)
Flavio 006 Stone Fr chống cháy
"Flavio 006 Stone, W142 cm, 100% Polyester"
Flavio 012 Light Grey
Flavio 012 Light Grey FR chống cháy
"Flavio 012 Light Grey, W142 cm, 100% Polyester"
"Flavio 012 Light Grey, W142 cm, 320gr/m, 100% Polyester, FR chống cháy"
Flavio 017 Antrazit (SC)
"Flavio 017 Antrazit, W142 cm, 100% Polyester"
"Flavio 017 Antrazit, W142 cm, 100% Polyester, FR chống cháy"
Flavio 017 Antrazite
"Flavio 027 midnight, W142 cm, 320gr/m2, 100% Polyester"
Flavio 035 Dust Blue
Flavio 063 Army
Flavio 071 Navy (KD)
Flavio 073 Pigeon Blue
Flavio 073 Pigeon Blue (KD)
Flavio 073 Pigeon Blue Fr chống cháy
Flavio 073 Pigeon Blue tem: 099 Fabio grey green
"Flavio 073 Pigeon Blue, W142 cm, 100% Polyester"
Fling Cinnabar
Florence-KD1011-03
Fluffy
Foam
Foam DK
Foam HR
Foam HR 35-40
Foam HR 3540
Foam HR 3550
Foam UK
Foam UK-FR
Foam US-FR
Forenza Cinnamon (KD)
Forest  023 Rosa
Forest  023 Rosa (KD)
Forest 023 Rosa
Forest 069 Dust Blue
Forest R 001 without backing
Forest R 004 Mole
Forest R 004 Mole (KD)
Forest R 023 Rosa
Forest R 023 Rosa (KD)
Forest R 069 Dust Blue
Forest R 069 Dust Blue (KD)
Forest R 069 Dust Blue(KD)
Forest R W/Backing 004 Mole
Forest R W/Backing 004 Mole (KD)
Forest R W/Backing 023 Rosa
Forest R W/Backing 023 Rosa (KD)
Forest R W/Backing 069 Dust Blue
Form Recycle 002 Cream
Form Recycle 002 Cream (KD)
Form Recycle 002 Cream(KD)
Form Recycle 096 Blue Grey
Form Recycle 096 Blue Grey (KD)
Fort Green Olmstead
Fort Greene-Cobblestone
Fort Greene-Olmsted
Foss 212 (KD
Fratello 005
Fratello 005 FR chống cháy
Fratello 008
Fratello 093 Jeans
Fratello 093 Jeans FR chống cháy
Fratello 118 Midnight Blue
Free  014 Shitake
Free 014 Shitake
Free R 014 Shitake
Free R 014 Shitake (KD)
Free R 014 Shitake Fr chống cháy
Free R 058 Dune
Free R 058 Dune.
Freshtrack
Froth Grey (A2008-1A) (KD)
Froth White Boucle (KD)
Future Mushroom 052
G-CF3 DFL3(T-GCC) Slider Painted
G-CNF5 DFL5(T-GCC) Slider Painted
G-Seven Mayafab
G0603400-Diano Oyster
GB-Felicity 63089 (KD)
GB-Felicity 64191 (KD)
GC1412
GM 515 (KD)
GUMTREE EASTWOOD MEADOW
GUMTREE EASTWOOD SEAL
GYPSY-PORCINI
Geometric Jewel Deep Sea Storm
Geometrics-10675 (R)
Ghế  Bench PAB017 Foam US-FR
Ghế:  như ghế mẫu
Gibson G049 SR 10A Wheat
Gibson G049 SR 10A Wheat (KD)
Gibson G049 SR 3A Mink
Gibson G049 SR 3A Mink (KD)
Gifford Smoke
Gifford Smoke ( bọc  tạm gần giống  chính trước)
Glore 170
Glore 170 (KD)
Glore 170 Mole
Glore 170 Mole (KD)
Goforth FCL Cloud
Green
Grid Glacier
Groupie Nile
Guru s Texture Destiny
Gurus Texture Bodhi
Gỗ Ash veneer và ván MDF
Gỗ Oak
Gỗ Oak C1
Gỗ Sồi Màu nâu (Oak in Brown)
Gỗ Sồi màu Smoked (Smoked Oak)
Gỗ Sồi màu trắng xà phòng (Oak in White Soap)
Gỗ Sồi màu tự nhiên bóng 5 % (Oak
Gỗ ash hệ sơn PU
Gỗ beech hệ sơn PU
Gỗ Óc chó màu tự nhiên (Walnut in Natural)
Gỗ Óc chó màu tự nhiên (Walnut in Natural-20.5 cm) và MDF dán veneer  Óc chó màu tự nhiên (MDF with Veneer in Natural Walnut color-10 cm)
Gỗi Sồi (Oak) dán Veneer màu tự nhiên
Gỗi Sồi (Oak) màu sandy ( Sandy Oak)
Gỗi Sồi (Oak) màu tự nhiên
H25mm
HAYDEN GREY
HAYDEN MARMOR
HM2280-10 with Coating
HOS-STP-80
Hailey Moon H22806-4A
Halton Birch H23305-3A w C0
Hammersmith Petrol (KD)
Hampton Bronze
Hampton Bronze (KD)
Harmel Pamela H24302-1A
Hatch  Platium w/shield
Hathaway Lemon
Hayden Grey (137)
Hayden Grey 2976-9 (145)
Hearth Ampitheater (KD)
Heather Twill Pewter 11042-67
Hemingway Silver
Hepburn 18A Porcelain (Bright Ash ) (KD)
Hepburn 18A Porcelain (Bright Ash) (KD)
Hillrose Custom Deepsea
Hillrose Custom Deepsea (KD)
Hitchens FRT Graphite
"Hollow 007 Bordeaux, W145 cm, 100% Polyester"
"Hollow 010 Moss Green, W145 cm, 100% Polyester"
Hollow 075 Dark Green
"Hollow 075 Dark Green, W145 cm, 100% Polyester"
"Hope 011 Pepper, W145 cm, 65% Linen 35% viscose"
"Hope 071 Navy, W145 cm, 65% Linen 35% viscose"
Hung Stax Recycle 085 moss green
Huomo
Huomu HM2169B-31-Option B (without loop yarn) with coating
Hurlingham Jute
Hurlingham Smoke/ Accent
INNOVATIONS PICK UP STICKS-KF-HIX
IPD1859-1 - Cream (bọc  tạm tương tự PPS trước
Icon Davis 06 Beige
"Icon Davis 06 Beige, W140 cm, 100% Polyester"
Icon Davis 39 Dark Green
"Icon Davis 39 Dark Green, W140 cm, 100% Polyester"
Icon Davis 45 Curry
Icon Davis 61 Dusty Rose
Icon Davis 79 Dust Blue
"Icon Davis 79 Dust Blue, W140 cm, 100% Polyester"
Icon Davis 81
Icon Davis 81 Light Grey
Icon Davis 95 Dark Grey
"Icon Davis 95 Dark Grey, W140 cm, 100% Polyester"
Idom Golden (KD)
Imogene Graphite CAL 117 FRCF
Impression 400
Impression 400 (KD)
Impression 400 Greig
Impression 400 Greige
Impression-400
Impression-400 (KD)
Infinity 676 Cord Fr chống cháy (KD)
Inox
Inox Chrome (Stainless Steel in Chrome)
Inventory Brentano
Inverness
Ivan Granite
Ivan Granite (N)
JBS Vintage KTT - Midnight Black (KD)
JEFFERY MICHAELS / DEPICTION / MINT
JENSEN B COLOR-026
JL15002-16
JL15002-16 (KD)
JSY-4176-16 UK BEIGE
JSY-4176-16-AR BEIGE
JSY-4176-16-AR BEIGE (khách cấp)
JSY-4190-57 UK GREY
JSY-4190-57 UK GREY ( khách cấp )
JUSTIN DAVID / P: PORTER / C: WESTERN
Jab-Pistoia Velvet Reloaded CA1292/074 030-10-00878
Jab-Pistoia Velvet Reloaded CA1292/074 030-10-00880
Jamu Jungle 003 Camaleonte
"Jensen 36 Dark Blue, W140cm, 95% Polyester 5% Nylon"
Jensen B 026
Jeremiah
Jeremiah (phần tựa lưng)+ TECOLOTE TOWER (phần nệm ngồi)
Justify Storm
K-Bosphorus Amber
K140 cm
K8143-02
K8143-02 (KD)
K8143-02 Boucle (KD)
K8143-02 with C6
KB ContractLiberty - Rasperry LBT06
KB Peyton Sand
Kabuki Expression (KD)
Kafulun  KS2211-01(KD)
